user_location,user_name
"","ChelseaBex"
"under your bed.","ErinPattisonn"
"","GooSau"
"","Esraaa86"
"NCAT/WishANiggah Woods","MoetWitMedusa"
"","AlainaPartlo12"
"","EliseSandstw12"
"","GloriaEdwards12"
"","Ariiadnylopes"
"With The Northern Army...","sirfirefist"
"PLANET HIP HOP","IAMTHEWC"
"kuwait NYC Orlando NewOrleans","subdice"
"you r timeline.. | you r heart","ArielGpe"
"Dickslanger","CheechStoned"
"","answersuniverse"
"","amaeee"
"my little bubble...","ShaniNDeed"
"Cheezy land.","szeeyinggs"
"YG Entertainment","Bellixyz"
"","JHPost"
"SchoolHomeEverywhere in town","ph1no"
"","OlaOsman"
"","bankeey"
"TRENDSETVILLE","labelsovalove"
"Solo the spirit of Java","BernardTofan"
"","AhLuvsActBlur"
"","MrzLoveJones"
"","l33tloser"
"DMV, Laurel","EveNdEye"
"Amreeka","BintFilistine"
"","DRDiego23"
"Above the radar...","haadeh"
"","LOVEgivesmehope"
"","JamiieRoot"
"AtLondOmery","08TailDAW6"
"Hustlin staccin $$$","jussHUMBLE"
"","D0LCEREDB0SS"
"","ardikusu"
" / me, my tears, & I /3","callMeCurlySue"
"","InObamaLand"
"nowhere visible","autumnopera"
"everywhere & more","jilliannbanks"
"","MzFiesty11"
"","ELaiNE1596"
"","MarieWilson19"
"","7tammi7"
"Justin bieber heart :D","EyyaBiebShawty"
"","Victorilyn"
"","Tattoojordy"
"ÜT:  6.96748,107.666234","annisaDillaa"
"Wherever your mom is","Katexx2"
"On a Skateboard...DC, Cola","803socialite"
"Miami Bitch","ShadBrody"
"","Dionneplecht"
"","BirungiIves"
"","Maleny8"
"where ever you log on...","metacouture"
"","Epikk"
"where im tweetin from..","KiefSweat"
"","leticiasb"
"","tyler1012518"
"","AssociatedPrep"
"","vinis94"
"Isis  Ink Well","NolaDarling"
"","iansherridan"
"Verified","TheTomEgo"
"","OdagiriRyu"
"ÜT:  6.886358,107.582642","audreyhasian"
"","OhhMyAshh"
"Killa Cali ;D","SeductiveBabyy"
"","bvc17heartCR7"
"HOUSTALANTAVEGAS","uloveCOURTZz"
"..somewhere being REAL","REALSHxT"
"","dclickers"
"","kupcake18"
"","stairbundy"
"","Tatjania"
"","flipflopsnat"
"In my own mind","almostfamous820"
"~Malfoy Manor~","DarkAngelJessy"
"ÜT:  6.218598,106.761218","nirbeng"
"","BiancaYoung3"
"","weekiswee"
"anywhere with food!","suannnn"
"","sarahcalaunan"
"","haorits"
"","confelligent"
"","RACHEELSMITH"
"","PastrySimpson"
"","PHrozenP"
"Moon Walking On The Sun","ThatsCool"
"Moro... num país tropical...","casagrande"
"","chadterbox"
"Earth duhh","koolaidsmiletee"
"","classicsky"
"","yanouz"
"In your subtweet","RAYCHELrayy"
"The Cloud He Writing On","ApplaudNesh"
"","biancawajnblum"
"ÜT:  6.900301,107.602353","vincrumahloine"
"","avilamolly"
"","KweaneLuna"
"ÜT: 42.393842,21.487676","crlsptn"
"Hotel Bella Muerte","DrHoudini"
"look behind you.","thully"
"","in0nymous"
"","bethannnn"
"ini lokasi saya","ichannnnnnn"
"In your grave","ilhaambahagia"
"","redsheilata"
"ÜT:  7.774337,110.410618","tomtomtomo"
"","TheRealRemnant"
"","diegovigzer"
"","sykkelnyttdotno"
"At yo daddy dinner table","ItsPinkyBabii"
"We all Over!!","Da106nParkTwinz"
"","OhHopefulAndrew"
"","hosiawak"
"","techmoneydj"
"","windawitz"
"JackkkkkSON","JDot2Hott"
"","KingBeaArthur"
"At The Top Bitch","brianasodope"
"","msdkh"
"","littlebiancaa"
"","Abir2020"
"Ima Brooklyn Boy","reggi3kush"
"N his arms I lay ...","TrysB"
"","nullfuture"
"Catch me if ya can...","DTatedaREALest"
"Wish a nigga Woods","CoolAsAPenguin"
"","Celesttayy"
"","megaadhie"
"","romanticcabins"
"Sitting on a chair.","SnoeMariee"
"","quaviddotcom"
"one of these A STATES","ColeChill"
"","jagrasse"
"at yo mama house...","BtcBlowMe"
"","HollyGoldhawk"
"Madie s Land!!!","AllAboutMadie"
"Saudi Stock Market","MDaveH"
"Outchea","MP3ality"
"Utopia with @RalphHardy","CrizzyCraze"
"","disquisition"
"Living my dreams","HollyWoodNash"
"","matheusdabrit"
"","Peter010"
"","ChidoriRyan"
"ÜT:  6.173553,106.785483","AldoEthelbert"
"","earlleeevans"
"wherever @AvrilLavigne there","WWWayu"
"","IceeWater"
"Dexter s Laboratory.","BombAssBam"
"","sydneymaxfield"
"Sitting on a stoop","RyansdicknaBox"
"","lbmarie23"
"","JasenSilverdove"
"Wherever I am, there I IZ !","DeeRamsey"
"#TeamDMV/#TeamNSU","KeebIsKing"
"o3ninteen  o4five o4fifteen","bieburs"
"","praashok"
"","StarrSaid"
"","msmarilouhaque"
"","daannniiiiiiii"
"Between my Heart and Mind.","JustBCool"
"Anywhere you want me to be","kinsorame"
"","hypelifetv"
"","StunningDakota"
"","LiamMarchant"
"TEEDOT.","graciebaaby"
"","rachelsigner"
"","1justinbieber18"
"","chalibar"
"Dal Nac Ston","NinjaMartian"
"","KierstenIvy"
"","MsDittmar"
"","PoppyHoad"
"","amandaaQT"
"In my thoughts.","RodUnstoppable"
"Wes s World","WesPimp1"
"","UniqueMsBri"
"","kpin2010"
"","Thesofine1993"
"singing to an audience of 1","iMinmei"
"","allieilitch"
"","shayti88"
"","Phinex1330"
"Behind you.","tayjaybieber"
"Tweetin  While Skeetin","THErecordStr8"
"","eshoponline"
"","TheKidsRealBro"
"ÜT:  6.159998,106.909748","soniarchie"
"Where The Lions Sleep..","ViktorMcFly"
"ÜT: 0.0,0.0","tiaraaddicted"
"","budiriadinda"
"ÜT:  6.319963,106.683622","Jordymarsono"
"Under your bed","MyElianna"
"somewhere in my wonderland .","deviliica"
"A Brand New World To See","TrainerHannah"
"your bed ;)","jillianbieberx"
"","noitsnotsian"
"Internetz","SoundMonitorinG"
"","shreveportcrime"
"im shufflin","TheBiebsWay"
"","freshEdatzme"
"","UnNoticedTalent"
"","Torranceisbest"
"","connorhall88"
